especie,especieCBRO
Selenidera maculirostris,Selenidera maculirostris
Selenidera maculitostris,Selenidera maculirostris
Sicalis flaveola,Sicalis flaveola
Spartonoica maluroides,Spartonoica maluroides
Spheniscus magellanicus,Spheniscus magellanicus
Spizaetus melanoleucus,Spizaetus melanoleucus
Spizaetus ornatus,Spizaetus ornatus
Spizaetus ornatus ornatus,Spizaetus ornatus ornatus
Spizaetus tyrannus,Spizaetus tyrannus
Spizastur melanoleucus,Spizaetus melanoleucus
Sporagra yarrellii,Spinus yarrellii
Sporophila angolensis,Sporophila angolensis
Sporophila beltoni,Sporophila beltoni
Sporophila bouvreuil,Sporophila bouvreuil
Sporophila cinnamomea,Sporophila cinnamomea
Sporophila collaris,Sporophila collaris
Sporophila falcirostris,Sporophila falcirostris
Sporophila frontalis,Sporophila frontalis
Sporophila hypoxantha,Sporophila hypoxantha
Sporophila leucoptera,Sporophila leucoptera
Sporophila maximiliani,Sporophila maximiliani
Sporophila melanogaster,Sporophila melanogaster
Sporophila nigricollis,Sporophila nigricollis
Sporophila palustris,Sporophila palustris
Sporophila pileata,Sporophila pileata
Sporophila plumbea,Sporophila plumbea
Sporophila ruficollis,Sporophila ruficollis
Sporophyla collaris,Sporophila collaris
Sporophyla falcirostris,Sporophila falcirostris
Sporophyla frontalis,Sporophila frontalis
Stephanophorus diadematus,Stephanophorus diadematus
Stephanoxis lalandi,Stephanoxis lalandi
Stercorarius antarcticus,Stercorarius antarcticus
Stercorarius chilensis,Stercorarius chilensis
Stercorarius longicaudus,Stercorarius longicaudus
Stercorarius maccormicki,Stercorarius maccormicki
Stercorarius parasiticus,Stercorarius parasiticus
Stercorarius pomarinus,Stercorarius pomarinus
Sterna hirundinacea,Sterna hirundinacea
Sternula superciliaris,Sternula superciliaris
Strix huhula,Strix huhula
Strix huhula albomarginata,Strix huhula albomarginata
Strix virgata,Strix virgata
Sturnella defilippii,Leistes defilippii
Stymphalornis acutirostris,Formicivora acutirostris
Suiriri affinis,Guyramemua affine
Suiriri islerorum,Guyramemua affine
Suiriri suiriri,Suiriri suiriri
Sula dactylatra,Sula dactylatra
Sula sula,Sula sula
Synallaxis albilora,Synallaxis albilora
Synallaxis cinerea,Synallaxis cinerea
Synallaxis hypospodia,Synallaxis hypospodia
Synallaxis rutilans omissa,Synallaxis rutilans omissa
Syndactyla dimidiata,Syndactyla dimidiata
Synollaxis albescens,Synallaxis albescens
Tachornis squamata,Tachornis squamata
Tachuris rubrigastra,Tachuris rubrigastra
Tachyphonus cristatus,Loriotus cristatus
Tangara cayana,Stilpnia cayana
